db_id	protein_name
antitoxin_AT4922	vapB
antitoxin_AT4923	vapB
antitoxin_AT516	vapB
antitoxin_AT535	vapB
antitoxin_AT6021	mosA
antitoxin_AT6022	Axe
antitoxin_AT6023	relB
antitoxin_AT6024	epsilon
antitoxin_AT6025	ata
antitoxin_AT6029	spoIISB
antitoxin_AT6030	yxxD
antitoxin_AT6031	abiEi
antitoxin_AT6032	PsyrA
antitoxin_AT6033	sanaA
antitoxin_AT6034	pmenA
antitoxin_AT6035	rlegA
antitoxin_AT6037	pezT
antitoxin_AT6038	ata
antitoxin_AT6075	rnlB
antitoxin_AT6078	lsoB
antitoxin_AT6080	epsilon
antitoxin_AT6081	AbkA
antitoxin_AT6083	graA
antitoxin_AT6086	shpB
antitoxin_AT6087	higA
antitoxin_AT6088	higA
antitoxin_AT6090	mazE
antitoxin_AT6091	pemI
antitoxin_AT6093	phd
antitoxin_AT6097	relB
antitoxin_AT6098	Xre
antitoxin_AT6099	ghoS
antitoxin_AT6104	epsilon
antitoxin_AT6105	relB
antitoxin_AT6106	relB
antitoxin_AT6107	hicB
antitoxin_AT6108	hipB
antitoxin_AT6109	ccdA
antitoxin_AT611	Derived
antitoxin_AT6111	vagC
antitoxin_AT6112	vagC
antitoxin_AT6113	vapB
antitoxin_AT6114	relB
antitoxin_AT612	mazE
antitoxin_AT6120	pemI
antitoxin_AT6122	yefM
antitoxin_AT6124	higA
antitoxin_AT6127	relB
antitoxin_AT6128	relB
antitoxin_AT613	relB
antitoxin_AT6130	stbD
antitoxin_AT6131	relB
antitoxin_AT6134	relB
antitoxin_AT6135	pemI
antitoxin_AT6136	pemI
antitoxin_AT6137	mazE
antitoxin_AT6138	yefM
antitoxin_AT6139	relB
antitoxin_AT614	relB
antitoxin_AT6146	higA
antitoxin_AT6157	yafN
antitoxin_AT6240	darG
antitoxin_AT6241	vapB
antitoxin_AT6245	vapB
antitoxin_AT6246	vapB
antitoxin_AT6247	mazE
antitoxin_AT6248	mazE
antitoxin_AT6249	parD
antitoxin_AT6252	mazE
antitoxin_AT6253	uncharacterized antitoxin (M. tuberculosis)
antitoxin_AT6256	relB
antitoxin_AT6257	relB
antitoxin_AT6258	mazE
antitoxin_AT6259	mazE
antitoxin_AT6260	mazE
antitoxin_AT6261	relB
antitoxin_AT6279	yjhQ
antitoxin_AT6280	sezA
antitoxin_AT6281	yefM
antitoxin_AT6282	pezA
antitoxin_AT6283	hicB
antitoxin_AT6285	relB
antitoxin_AT6286	virA
antitoxin_AT6288	arc1
antitoxin_AT6289	relB
antitoxin_AT6297a	Derived
antitoxin_AT6297b	spoIISB
antitoxin_AT6319	AbiEi
antitoxin_AT6320	AbiEii
antitoxin_AT6367	socB
antitoxin_AT6368	ygfX
antitoxin_AT652	vapB
antitoxin_AT655	chpI
antitoxin_AT658	hipB
antitoxin_AT659	copA
antitoxin_AT660	II
antitoxin_AT663	mazE
antitoxin_AT665	relB
antitoxin_AT705	relB
antitoxin_AT728	yefM
antitoxin_AT73	Rv0298
antitoxin_AT74	vapB
antitoxin_AT75	vapB
antitoxin_AT76	vapB
antitoxin_AT77	vapB
antitoxin_AT78	vapB
antitoxin_AT79	vapB
antitoxin_AT80	vapB
antitoxin_AT81	vapB
antitoxin_AT82	vapB
antitoxin_AT83	vapB
antitoxin_AT84	mazE
antitoxin_AT843	vapB
antitoxin_AT85	vapB
antitoxin_AT86	vapB
antitoxin_AT87	vapB
antitoxin_AT875	hicB
antitoxin_AT877	vapB
antitoxin_AT88	novel[toxin]
antitoxin_AT90	mazE
antitoxin_AT91	vapB
antitoxin_AT911	mazE
antitoxin_AT92	vapB
antitoxin_AT93	relB
antitoxin_AT94	vapB
antitoxin_AT945	vapB
antitoxin_AT947	vapB
antitoxin_AT95	mazE
antitoxin_AT950	vapB
antitoxin_AT951	vapB
antitoxin_AT956	vapB
antitoxin_AT957	vapB
antitoxin_AT962	vapB
antitoxin_AT964	vapB
antitoxin_AT97	vapB
antitoxin_AT970	vapB
antitoxin_AT972	vapB
antitoxin_AT977	vapB
antitoxin_AT978	relB
antitoxin_AT98	vapB
toxin8_T10017	uncharacterized toxin (H. hispanica)
toxin8_T10165	ryeA
toxin8_T10220	uncharacterized toxin (A. sp.)
toxin8_T10221	uncharacterized toxin (H. hubeiense)
toxin_T10002	HD
toxin_T10003	faRel2
toxin_T10004	phRel2
toxin_T10005	capRel
toxin_T10006	phRel
toxin_T10007	panT
toxin_T10008	panT
toxin_T10009	panT
toxin_T10010	panT
toxin_T10011	panT
toxin_T10012	panT
toxin_T10013	panT
toxin_T10014	panT
toxin_T10015	panT
toxin_T10016	This
toxin_T10019	pezT
toxin_T10024	sprA1
toxin_T10025	Derived
toxin_T10026	Derived
toxin_T10027	uncharacterized toxin (S. aureus)
toxin_T10028	Fst
toxin_T10029	Fst
toxin_T10030	doc
toxin_T10031	mntA
toxin_T10032	higB
toxin_T10033	vapC
toxin_T10034	vapC
toxin_T10035	dhiT
toxin_T10036	HipT
toxin_T10037	higB
toxin_T10038	hipA
toxin_T10039	MokC
toxin_T10040	tsbT
toxin_T10041	tacT
toxin_T10042	mazF
toxin_T10044	PrcT
toxin_T10045	FAD
toxin_T10046	subtilisin-likeserineprotease
toxin_T10047	MAG6410
toxin_T10048	Fic
toxin_T10049	holin
toxin_T1005	relE
toxin_T10050	HigB2
toxin_T10051	TacT2
toxin_T10052	TacT3
toxin_T10053	MNTss
toxin_T10054	vapC
toxin_T10055	darT
toxin_T10056	darT
toxin_T10058	yeeF
